Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
901,Thursday,5,3/2/2017,"4,688","3,441","2,747",694
902,Friday,6,3/3/2017,"3,827","2,699","2,140",559
903,Saturday,7,3/4/2017,"2,452","1,754","1,408",346
904,Sunday,1,3/5/2017,"3,283","2,394","1,958",436
905,Monday,2,3/6/2017,"4,823","3,481","2,764",717
906,Tuesday,3,3/7/2017,"4,821","3,662","2,942",720
907,Wednesday,4,3/8/2017,"5,059","3,613","2,923",690
908,Thursday,5,3/9/2017,"4,585","3,444","2,744",700
909,Friday,6,3/10/2017,"3,682","2,733","2,178",555
910,Saturday,7,3/11/2017,"2,350","1,714","1,351",363
911,Sunday,1,3/12/2017,"3,056","2,189","1,755",434
912,Monday,2,3/13/2017,"4,746","3,367","2,721",646
913,Tuesday,3,3/14/2017,"4,613","3,465","2,808",657
914,Wednesday,4,3/15/2017,"4,560","3,441","2,694",747
915,Thursday,5,3/16/2017,"4,520","3,304","2,629",675
916,Friday,6,3/17/2017,"3,346","2,433","1,930",503
917,Saturday,7,3/18/2017,"2,253","1,649","1,325",324
918,Sunday,1,3/19/2017,"2,927","2,267","1,807",460
919,Monday,2,3/20/2017,"4,878","3,463","2,799",664
920,Tuesday,3,3/21/2017,"4,852","3,481","2,802",679
921,Wednesday,4,3/22/2017,"4,585","3,430","2,757",673
922,Thursday,5,3/23/2017,"4,477","3,260","2,600",660
923,Friday,6,3/24/2017,"3,654","2,566","1,993",573
924,Saturday,7,3/25/2017,"2,411","1,760","1,420",340
925,Sunday,1,3/26/2017,"3,054","2,336","1,882",454
926,Monday,2,3/27/2017,"4,696","3,479","2,765",714
927,Tuesday,3,3/28/2017,"5,033","3,633","2,875",758
928,Wednesday,4,3/29/2017,"4,948","3,530","2,809",721
929,Thursday,5,3/30/2017,"4,636","3,390","2,704",686
930,Friday,6,3/31/2017,"3,539","2,636","2,060",576
931,Saturday,7,4/1/2017,"2,371","1,678","1,338",340
932,Sunday,1,4/2/2017,"2,816","2,159","1,715",444
933,Monday,2,4/3/2017,"4,493","3,356","2,672",684
934,Tuesday,3,4/4/2017,"4,678","3,486","2,739",747
935,Wednesday,4,4/5/2017,"4,737","3,484","2,762",722
936,Thursday,5,4/6/2017,"4,775","3,514","2,806",708
937,Friday,6,4/7/2017,"3,658","2,725","2,181",544
938,Saturday,7,4/8/2017,"2,260","1,664","1,324",340
939,Sunday,1,4/9/2017,"3,343","2,433","1,933",500
940,Monday,2,4/10/2017,"4,640","3,440","2,756",684
941,Tuesday,3,4/11/2017,"4,694","3,532","2,867",665
942,Wednesday,4,4/12/2017,"4,771","3,517","2,800",717
943,Thursday,5,4/13/2017,"4,173","3,017","2,395",622
944,Friday,6,4/14/2017,"3,046","2,238","1,752",486
945,Saturday,7,4/15/2017,"2,260","1,701","1,333",368
946,Sunday,1,4/16/2017,"2,876","2,143","1,700",443
947,Monday,2,4/17/2017,"4,774","3,402","2,719",683
948,Tuesday,3,4/18/2017,"5,009","3,702","2,906",796
949,Wednesday,4,4/19/2017,"5,369","3,852","3,133",719
950,Thursday,5,4/20/2017,"5,020","3,669","2,969",700
951,Friday,6,4/21/2017,"3,935","2,802","2,203",599
952,Saturday,7,4/22/2017,"2,795","2,049","1,630",419
953,Sunday,1,4/23/2017,"3,795","2,827","2,305",522
954,Monday,2,4/24/2017,"5,489","4,083","3,252",831
955,Tuesday,3,4/25/2017,"5,680","4,108","3,336",772
956,Wednesday,4,4/26/2017,"5,383","3,940","3,205",735
957,Thursday,5,4/27/2017,"4,890","3,695","2,985",710
958,Friday,6,4/28/2017,"3,872","2,887","2,310",577
959,Saturday,7,4/29/2017,"2,790","1,987","1,602",385
960,Sunday,1,4/30/2017,"3,524","2,616","2,118",498
961,Monday,2,5/1/2017,"4,903","3,551","2,875",676
962,Tuesday,3,5/2/2017,"5,160","3,802","3,079",723
963,Wednesday,4,5/3/2017,"5,194","3,766","2,995",771
964,Thursday,5,5/4/2017,"5,142","3,755","3,013",742
965,Friday,6,5/5/2017,"3,836","2,925","2,323",602
966,Saturday,7,5/6/2017,"2,737","1,981","1,572",409
967,Sunday,1,5/7/2017,"3,386","2,534","2,025",509
968,Monday,2,5/8/2017,"4,816","3,585","2,900",685
969,Tuesday,3,5/9/2017,"4,734","3,458","2,763",695
970,Wednesday,4,5/10/2017,"4,761","3,475","2,754",721
971,Thursday,5,5/11/2017,"4,277","3,224","2,570",654
972,Friday,6,5/12/2017,"3,563","2,620","2,056",564
973,Saturday,7,5/13/2017,"2,401","1,749","1,379",370
974,Sunday,1,5/14/2017,"2,877","2,126","1,674",452
975,Monday,2,5/15/2017,"4,448","3,191","2,494",697
976,Tuesday,3,5/16/2017,"4,525","3,226","2,593",633
977,Wednesday,4,5/17/2017,"4,533","3,318","2,676",642
978,Thursday,5,5/18/2017,"4,431","3,307","2,686",621
979,Friday,6,5/19/2017,"3,456","2,470","1,938",532
980,Saturday,7,5/20/2017,"2,162","1,651","1,332",319
981,Sunday,1,5/21/2017,"2,786","1,971","1,597",374
982,Monday,2,5/22/2017,"4,172","3,041","2,403",638
983,Tuesday,3,5/23/2017,"4,255","3,077","2,457",620
984,Wednesday,4,5/24/2017,"4,154","2,996","2,400",596
985,Thursday,5,5/25/2017,"3,803","2,839","2,263",576
986,Friday,6,5/26/2017,"2,950","2,183","1,720",463
987,Saturday,7,5/27/2017,"1,909","1,444","1,155",289
988,Sunday,1,5/28/2017,"2,506","1,781","1,399",382
989,Monday,2,5/29/2017,"3,325","2,457","1,913",544
990,Tuesday,3,5/30/2017,"4,086","2,909","2,298",611
991,Wednesday,4,5/31/2017,"3,716","2,667","2,069",598
992,Thursday,5,6/1/2017,"3,702","2,639","2,103",536
993,Friday,6,6/2/2017,"2,959","2,171","1,680",491
994,Saturday,7,6/3/2017,"2,006","1,471","1,161",310
995,Sunday,1,6/4/2017,"2,479","1,795","1,419",376
996,Monday,2,6/5/2017,"3,501","2,610","2,072",538
997,Tuesday,3,6/6/2017,"3,985","2,922","2,361",561
998,Wednesday,4,6/7/2017,"3,920","2,913","2,314",599
999,Thursday,5,6/8/2017,"3,868","2,796","2,209",587
1000,Friday,6,6/9/2017,"2,921","2,101","1,660",441
1001,Saturday,7,6/10/2017,"1,655","1,244",975,269
1002,Sunday,1,6/11/2017,"2,229","1,622","1,299",323
1003,Monday,2,6/12/2017,"3,660","2,598","2,020",578
1004,Tuesday,3,6/13/2017,"3,898","2,809","2,202",607
1005,Wednesday,4,6/14/2017,"3,912","2,797","2,200",597
1006,Thursday,5,6/15/2017,"3,604","2,624","2,029",595
1007,Friday,6,6/16/2017,"2,970","2,105","1,621",484
1008,Saturday,7,6/17/2017,"1,546","1,187",957,230
1009,Sunday,1,6/18/2017,"1,944","1,465","1,146",319
1010,Monday,2,6/19/2017,"3,608","2,493","1,959",534
1011,Tuesday,3,6/20/2017,"3,514","2,472","1,905",567
1012,Wednesday,4,6/21/2017,"3,344","2,475","1,915",560
1013,Thursday,5,6/22/2017,"3,292","2,351","1,824",527
1014,Friday,6,6/23/2017,"2,469","1,850","1,445",405
1015,Saturday,7,6/24/2017,"1,296",925,702,223
1016,Sunday,1,6/25/2017,"1,546","1,071",811,260
1017,Monday,2,6/26/2017,"2,948","1,998","1,528",470
1018,Tuesday,3,6/27/2017,"3,077","2,190","1,690",500
1019,Wednesday,4,6/28/2017,"3,028","2,145","1,649",496
1020,Thursday,5,6/29/2017,"2,738","1,976","1,474",502
1021,Friday,6,6/30/2017,"2,147","1,478","1,087",391
1022,Saturday,7,7/1/2017,"1,277",903,675,228
1023,Sunday,1,7/2/2017,"1,606","1,142",879,263
1024,Monday,2,7/3/2017,"2,504","1,726","1,296",430
1025,Tuesday,3,7/4/2017,"2,218","1,566","1,217",349
1026,Wednesday,4,7/5/2017,"3,024","2,149","1,681",468
1027,Thursday,5,7/6/2017,"2,951","2,047","1,555",492
1028,Friday,6,7/7/2017,"2,401","1,693","1,310",383
1029,Saturday,7,7/8/2017,"1,242",891,700,191
1030,Sunday,1,7/9/2017,"1,511","1,172",938,234
1031,Monday,2,7/10/2017,"2,934","2,062","1,619",443
1032,Tuesday,3,7/11/2017,"3,003","2,140","1,663",477
1033,Wednesday,4,7/12/2017,"3,073","2,192","1,710",482
1034,Thursday,5,7/13/2017,"2,933","2,043","1,550",493
1035,Friday,6,7/14/2017,"2,468","1,710","1,287",423
1036,Saturday,7,7/15/2017,"1,355",892,689,203
1037,Sunday,1,7/16/2017,"1,553","1,122",891,231
1038,Monday,2,7/17/2017,"2,902","1,954","1,479",475
1039,Tuesday,3,7/18/2017,"2,899","2,109","1,591",518
1040,Wednesday,4,7/19/2017,"2,986","2,032","1,584",448
1041,Thursday,5,7/20/2017,"2,964","2,031","1,571",460
1042,Friday,6,7/21/2017,"2,433","1,609","1,214",395
1043,Saturday,7,7/22/2017,"1,280",923,725,198
1044,Sunday,1,7/23/2017,"1,603","1,170",909,261
1045,Monday,2,7/24/2017,"3,154","2,214","1,726",488
1046,Tuesday,3,7/25/2017,"3,084","2,148","1,666",482
1047,Wednesday,4,7/26/2017,"2,983","1,925","1,490",435
1048,Thursday,5,7/27/2017,"2,849","1,908","1,440",468
1049,Friday,6,7/28/2017,"2,420","1,538","1,150",388
1050,Saturday,7,7/29/2017,"1,300",895,712,183
1051,Sunday,1,7/30/2017,"1,526","1,112",863,249
1052,Monday,2,7/31/2017,"2,872","1,978","1,481",497
1053,Tuesday,3,8/1/2017,"2,914","1,957","1,463",494
1054,Wednesday,4,8/2/2017,"2,843","1,994","1,536",458
1055,Thursday,5,8/3/2017,"2,649","1,894","1,447",447
1056,Friday,6,8/4/2017,"2,042","1,478","1,150",328
1057,Saturday,7,8/5/2017,"1,225",901,681,220
1058,Sunday,1,8/6/2017,"1,562","1,045",792,253
1059,Monday,2,8/7/2017,"2,751","1,823","1,398",425
1060,Tuesday,3,8/8/2017,"2,634","1,868","1,415",453
1061,Wednesday,4,8/9/2017,"2,704","1,961","1,511",450
1062,Thursday,5,8/10/2017,"2,670","1,864","1,463",401
1063,Friday,6,8/11/2017,"2,073","1,498","1,121",377
1064,Saturday,7,8/12/2017,"1,240",888,669,219
1065,Sunday,1,8/13/2017,"1,530","1,076",811,265
1066,Monday,2,8/14/2017,"2,392","1,704","1,346",358
1067,Tuesday,3,8/15/2017,"2,675","1,846","1,471",375
1068,Wednesday,4,8/16/2017,"2,755","1,911","1,436",475
1069,Thursday,5,8/17/2017,"2,608","1,824","1,421",403
1070,Friday,6,8/18/2017,"2,163","1,521","1,163",358
1071,Saturday,7,8/19/2017,"1,304",951,743,208
1072,Sunday,1,8/20/2017,"1,969","1,419","1,156",263
1073,Monday,2,8/21/2017,"2,985","2,069","1,575",494
1074,Tuesday,3,8/22/2017,"3,087","2,259","1,772",487
1075,Wednesday,4,8/23/2017,"3,047","2,147","1,704",443
1076,Thursday,5,8/24/2017,"2,961","2,026","1,600",426
1077,Friday,6,8/25/2017,"2,293","1,589","1,257",332
1078,Saturday,7,8/26/2017,"1,261",934,751,183
1079,Sunday,1,8/27/2017,"1,676","1,211",983,228
1080,Monday,2,8/28/2017,"1,786","1,287","1,005",282
1081,Tuesday,3,8/29/2017,"3,252","2,310","1,845",465
1082,Wednesday,4,8/30/2017,"3,082","2,179","1,741",438
1083,Thursday,5,8/31/2017,"2,721","1,963","1,579",384
1084,Friday,6,9/1/2017,"2,217","1,583","1,235",348
1085,Saturday,7,9/2/2017,"1,271",908,730,178
1086,Sunday,1,9/3/2017,"1,742","1,197",958,239
1087,Monday,2,9/4/2017,"2,293","1,704","1,380",324
1088,Tuesday,3,9/5/2017,"3,155","2,289","1,818",471
1089,Wednesday,4,9/6/2017,"3,159","2,320","1,882",438
1090,Thursday,5,9/7/2017,"3,054","2,243","1,777",466
1091,Friday,6,9/8/2017,"2,440","1,848","1,488",360
1092,Saturday,7,9/9/2017,"1,532","1,108",924,184
1093,Sunday,1,9/10/2017,"2,247","1,657","1,366",291
1094,Monday,2,9/11/2017,"3,570","2,496","2,033",463
1095,Tuesday,3,9/12/2017,"3,524","2,540","2,075",465
1096,Wednesday,4,9/13/2017,"3,471","2,473","2,040",433
1097,Thursday,5,9/14/2017,"3,303","2,415","1,974",441
1098,Friday,6,9/15/2017,"2,560","1,867","1,519",348
1099,Saturday,7,9/16/2017,"1,470","1,090",912,178
1100,Sunday,1,9/17/2017,"2,234","1,715","1,446",269
1101,Monday,2,9/18/2017,"3,504","2,596","2,123",473
1102,Tuesday,3,9/19/2017,"3,984","2,840","2,382",458
1103,Wednesday,4,9/20/2017,"3,746","2,660","2,188",472
1104,Thursday,5,9/21/2017,"3,524","2,667","2,143",524
1105,Friday,6,9/22/2017,"2,639","1,944","1,591",353
1106,Saturday,7,9/23/2017,"1,523","1,178",975,203
1107,Sunday,1,9/24/2017,"2,425","1,809","1,521",288
1108,Monday,2,9/25/2017,"3,671","2,705","2,202",503
1109,Tuesday,3,9/26/2017,"3,669","2,780","2,306",474
1110,Wednesday,4,9/27/2017,"3,537","2,657","2,211",446
1111,Thursday,5,9/28/2017,"3,413","2,507","2,048",459
1112,Friday,6,9/29/2017,"2,699","1,902","1,554",348
1113,Saturday,7,9/30/2017,"1,829","1,289","1,058",231
1114,Sunday,1,10/1/2017,"2,379","1,812","1,507",305
1115,Monday,2,10/2/2017,"3,637","2,669","2,221",448
1116,Tuesday,3,10/3/2017,"3,775","2,787","2,253",534
1117,Wednesday,4,10/4/2017,"3,572","2,731","2,245",486
1118,Thursday,5,10/5/2017,"3,605","2,695","2,230",465
1119,Friday,6,10/6/2017,"2,774","2,078","1,670",408
1120,Saturday,7,10/7/2017,"1,780","1,354","1,106",248
1121,Sunday,1,10/8/2017,"2,469","1,884","1,571",313
1122,Monday,2,10/9/2017,"3,881","2,869","2,348",521
1123,Tuesday,3,10/10/2017,"3,767","2,785","2,296",489
1124,Wednesday,4,10/11/2017,"4,082","2,924","2,335",589
1125,Thursday,5,10/12/2017,"4,047","2,768","2,240",528
1126,Friday,6,10/13/2017,"2,877","2,114","1,706",408
1127,Saturday,7,10/14/2017,"2,073","1,559","1,298",261
1128,Sunday,1,10/15/2017,"2,759","2,066","1,739",327
1129,Monday,2,10/16/2017,"3,817","2,880","2,344",536
1130,Tuesday,3,10/17/2017,"3,949","2,930","2,402",528
1131,Wednesday,4,10/18/2017,"3,867","2,896","2,395",501
1132,Thursday,5,10/19/2017,"3,621","2,582","2,119",463
1133,Friday,6,10/20/2017,"2,978","2,220","1,772",448
1134,Saturday,7,10/21/2017,"1,992","1,434","1,158",276
1135,Sunday,1,10/22/2017,"2,851","2,142","1,779",363
1136,Monday,2,10/23/2017,"4,390","3,177","2,651",526
1137,Tuesday,3,10/24/2017,"3,886","2,938","2,406",532
1138,Wednesday,4,10/25/2017,"3,424","2,477","2,017",460
1139,Thursday,5,10/26/2017,"4,207","3,087","2,561",526
1140,Friday,6,10/27/2017,"3,345","2,478","1,984",494
1141,Saturday,7,10/28/2017,"2,128","1,567","1,277",290
1142,Sunday,1,10/29/2017,"2,205","1,637","1,319",318
1143,Monday,2,10/30/2017,"4,091","2,999","2,453",546
1144,Tuesday,3,10/31/2017,"4,223","3,143","2,555",588
1145,Wednesday,4,11/1/2017,"4,361","3,147","2,554",593
1146,Thursday,5,11/2/2017,"4,263","3,103","2,513",590
1147,Friday,6,11/3/2017,"3,341","2,397","1,903",494
1148,Saturday,7,11/4/2017,"2,278","1,634","1,307",327
1149,Sunday,1,11/5/2017,"3,097","2,299","1,888",411
1150,Monday,2,11/6/2017,"4,185","3,113","2,538",575
1151,Tuesday,3,11/7/2017,"4,477","3,341","2,689",652
1152,Wednesday,4,11/8/2017,"4,354","3,227","2,579",648
1153,Thursday,5,11/9/2017,"4,194","3,005","2,401",604
1154,Friday,6,11/10/2017,"3,240","2,319","1,833",486
1155,Saturday,7,11/11/2017,"2,424","1,613","1,283",330
1156,Sunday,1,11/12/2017,"3,168","2,309","1,853",456
1157,Monday,2,11/13/2017,"4,709","3,433","2,784",649
1158,Tuesday,3,11/14/2017,"4,634","3,373","2,727",646
1159,Wednesday,4,11/15/2017,"4,545","3,345","2,681",664
1160,Thursday,5,11/16/2017,"4,532","3,332","2,693",639
1161,Friday,6,11/17/2017,"3,317","2,508","2,018",490
1162,Saturday,7,11/18/2017,"2,449","1,741","1,386",355
1163,Sunday,1,11/19/2017,"2,893","2,231","1,780",451
1164,Monday,2,11/20/2017,"4,170","3,135","2,555",580
1165,Tuesday,3,11/21/2017,"4,277","3,026","2,419",607
1166,Wednesday,4,11/22/2017,"3,588","2,625","2,078",547
1167,Thursday,5,11/23/2017,"3,141","2,237","1,760",477
1168,Friday,6,11/24/2017,"2,658","1,843","1,429",414
1169,Saturday,7,11/25/2017,"2,391","1,652","1,327",325
1170,Sunday,1,11/26/2017,"3,202","2,354","1,901",453
1171,Monday,2,11/27/2017,"4,349","3,251","2,601",650
1172,Tuesday,3,11/28/2017,"4,886","3,660","2,968",692
1173,Wednesday,4,11/29/2017,"4,555","3,484","2,824",660
1174,Thursday,5,11/30/2017,"4,477","3,134","2,530",604
1175,Friday,6,12/1/2017,"3,577","2,603","2,056",547
1176,Saturday,7,12/2/2017,"2,430","1,827","1,461",366
1177,Sunday,1,12/3/2017,"3,449","2,504","2,006",498
1178,Monday,2,12/4/2017,"4,955","3,673","3,019",654
1179,Tuesday,3,12/5/2017,"4,475","3,435","2,775",660
1180,Wednesday,4,12/6/2017,"4,595","3,452","2,766",686
1181,Thursday,5,12/7/2017,"4,451","3,199","2,563",636
1182,Friday,6,12/8/2017,"3,418","2,549","2,037",512
1183,Saturday,7,12/9/2017,"2,605","1,944","1,572",372
1184,Sunday,1,12/10/2017,"3,483","2,607","2,102",505
1185,Monday,2,12/11/2017,"4,651","3,350","2,656",694
1186,Tuesday,3,12/12/2017,"4,029","3,011","2,351",660
1187,Wednesday,4,12/13/2017,"4,282","3,205","2,609",596
1188,Thursday,5,12/14/2017,"4,138","2,930","2,315",615
1189,Friday,6,12/15/2017,"4,130","2,803","2,211",592
1190,Saturday,7,12/16/2017,"2,581","1,761","1,429",332
1191,Sunday,1,12/17/2017,"3,355","2,300","1,876",424
1192,Monday,2,12/18/2017,"4,482","3,109","2,491",618
1193,Tuesday,3,12/19/2017,"4,584","3,021","2,456",565
1194,Wednesday,4,12/20/2017,"4,106","2,661","2,133",528
1195,Thursday,5,12/21/2017,"3,378","2,243","1,798",445
1196,Friday,6,12/22/2017,"2,446","1,544","1,211",333
1197,Saturday,7,12/23/2017,"1,447",958,753,205
1198,Sunday,1,12/24/2017,"1,326",895,696,199
1199,Monday,2,12/25/2017,"1,609","1,015",809,206
1200,Tuesday,3,12/26/2017,"2,481","1,438","1,105",333
1201,Wednesday,4,12/27/2017,"2,798","1,740","1,350",390
1202,Thursday,5,12/28/2017,"2,809","1,797","1,425",372
1203,Friday,6,12/29/2017,"2,216","1,410","1,083",327
1204,Saturday,7,12/30/2017,"1,546","1,071",839,232
1205,Sunday,1,12/31/2017,"1,339",923,724,199
1206,Monday,2,1/1/2018,"1,709","1,120",878,242
1207,Tuesday,3,1/2/2018,"3,389","2,208","1,755",453
1208,Wednesday,4,1/3/2018,"3,391","2,282","1,827",455
1209,Thursday,5,1/4/2018,"3,698","2,310","1,878",432
1210,Friday,6,1/5/2018,"3,511","2,272","1,801",471
1211,Saturday,7,1/6/2018,"2,279","1,498","1,196",302
1212,Sunday,1,1/7/2018,"2,822","1,869","1,495",374
1213,Monday,2,1/8/2018,"4,240","2,784","2,186",598
1214,Tuesday,3,1/9/2018,"4,319","2,844","2,302",542
1215,Wednesday,4,1/10/2018,"4,224","2,866","2,304",562
1216,Thursday,5,1/11/2018,"3,797","2,704","2,203",501
1217,Friday,6,1/12/2018,"3,190","2,127","1,692",435
1218,Saturday,7,1/13/2018,"1,998","1,373","1,128",245
1219,Sunday,1,1/14/2018,"2,515","1,711","1,393",318
1220,Monday,2,1/15/2018,"3,950","2,612","2,065",547
1221,Tuesday,3,1/16/2018,"4,033","2,631","2,133",498
1222,Wednesday,4,1/17/2018,"4,269","2,812","2,285",527
1223,Thursday,5,1/18/2018,"4,124","2,677","2,157",520
1224,Friday,6,1/19/2018,"3,228","2,198","1,763",435
1225,Saturday,7,1/20/2018,"2,287","1,423","1,160",263
1226,Sunday,1,1/21/2018,"2,946","1,996","1,628",368
1227,Monday,2,1/22/2018,"4,608","3,035","2,534",501
1228,Tuesday,3,1/23/2018,"4,786","3,154","2,566",588
1229,Wednesday,4,1/24/2018,"4,724","3,244","2,680",564
1230,Thursday,5,1/25/2018,"4,417","2,875","2,348",527
1231,Friday,6,1/26/2018,"3,580","2,314","1,825",489
1232,Saturday,7,1/27/2018,"2,345","1,544","1,229",315
1233,Sunday,1,1/28/2018,"3,170","2,140","1,776",364
1234,Monday,2,1/29/2018,"4,862","3,194","2,573",621
1235,Tuesday,3,1/30/2018,"4,600","3,106","2,504",602
1236,Wednesday,4,1/31/2018,"4,705","3,249","2,704",545
1237,Thursday,5,2/1/2018,"4,723","3,164","2,571",593
1238,Friday,6,2/2/2018,"3,969","2,572","2,104",468
1239,Saturday,7,2/3/2018,"2,994","2,034","1,702",332
1240,Sunday,1,2/4/2018,"3,162","2,186","1,811",375
1241,Monday,2,2/5/2018,"4,949","3,287","2,735",552
1242,Tuesday,3,2/6/2018,"5,092","3,465","2,838",627
1243,Wednesday,4,2/7/2018,"4,767","3,319","2,729",590
1244,Thursday,5,2/8/2018,"4,625","3,179","2,603",576
1245,Friday,6,2/9/2018,"3,738","2,477","2,015",462
1246,Saturday,7,2/10/2018,"2,739","1,793","1,477",316
1247,Sunday,1,2/11/2018,"3,923","2,476","2,077",399
1248,Monday,2,2/12/2018,"5,341","3,687","3,045",642
1249,Tuesday,3,2/13/2018,"5,114","3,460","2,836",624
1250,Wednesday,4,2/14/2018,"4,896","3,214","2,568",646
1251,Thursday,5,2/15/2018,"4,502","3,050","2,507",543
1252,Friday,6,2/16/2018,"3,729","2,518","2,012",506
1253,Saturday,7,2/17/2018,"2,388","1,618","1,319",299
1254,Sunday,1,2/18/2018,"3,405","2,314","1,928",386
1255,Monday,2,2/19/2018,"5,176","3,620","2,971",649
1256,Tuesday,3,2/20/2018,"5,429","3,597","2,978",619
1257,Wednesday,4,2/21/2018,"5,120","3,448","2,869",579
1258,Thursday,5,2/22/2018,"4,993","3,379","2,774",605
1259,Friday,6,2/23/2018,"4,148","2,751","2,221",530
1260,Saturday,7,2/24/2018,"2,763","1,981","1,648",333
1261,Sunday,1,2/25/2018,"3,599","2,446","2,011",435
1262,Monday,2,2/26/2018,"5,542","3,728","3,052",676
1263,Tuesday,3,2/27/2018,"5,378","3,764","3,123",641
1264,Wednesday,4,2/28/2018,"5,536","3,734","3,095",639
1265,Thursday,5,3/1/2018,"4,984","3,315","2,713",602
1266,Friday,6,3/2/2018,"4,130","2,754","2,231",523
1267,Saturday,7,3/3/2018,"2,818","1,922","1,579",343
1268,Sunday,1,3/4/2018,"3,978","2,699","2,249",450
1269,Monday,2,3/5/2018,"5,502","3,727","3,019",708
1270,Tuesday,3,3/6/2018,"5,740","3,842","3,160",682
1271,Wednesday,4,3/7/2018,"5,635","3,734","3,037",697
1272,Thursday,5,3/8/2018,"5,375","3,704","3,044",660
1273,Friday,6,3/9/2018,"4,273","3,038","2,490",548
1274,Saturday,7,3/10/2018,"3,223","2,305","1,918",387
1275,Sunday,1,3/11/2018,"3,956","2,727","2,288",439
1276,Monday,2,3/12/2018,"5,895","4,141","3,447",694
1277,Tuesday,3,3/13/2018,"6,152","4,207","3,398",809
1278,Wednesday,4,3/14/2018,"5,906","4,021","3,305",716
1279,Thursday,5,3/15/2018,"6,300","4,061","3,279",782
1280,Friday,6,3/16/2018,"4,915","3,259","2,673",586
1281,Saturday,7,3/17/2018,"3,218","2,161","1,818",343
1282,Sunday,1,3/18/2018,"4,429","2,919","2,435",484
1283,Monday,2,3/19/2018,"5,739","4,038","3,316",722
1284,Tuesday,3,3/20/2018,"6,220","4,292","3,553",739
1285,Wednesday,4,3/21/2018,"6,238","4,163","3,396",767
1286,Thursday,5,3/22/2018,"6,226","4,251","3,595",656
1287,Friday,6,3/23/2018,"4,364","2,994","2,457",537
1288,Saturday,7,3/24/2018,"2,882","2,021","1,682",339
1289,Sunday,1,3/25/2018,"4,010","2,748","2,263",485
1290,Monday,2,3/26/2018,"6,084","3,995","3,289",706
1291,Tuesday,3,3/27/2018,"5,874","4,147","3,446",701
1292,Wednesday,4,3/28/2018,"5,719","3,917","3,288",629
1293,Thursday,5,3/29/2018,"5,003","3,396","2,812",584
1294,Friday,6,3/30/2018,"3,605","2,541","2,062",479
1295,Saturday,7,3/31/2018,"2,811","1,901","1,512",389
1296,Sunday,1,4/1/2018,"3,567","2,438","1,956",482
1297,Monday,2,4/2/2018,"5,237","3,542","2,875",667
1298,Tuesday,3,4/3/2018,"6,154","4,126","3,438",688
1299,Wednesday,4,4/4/2018,"5,895","4,112","3,418",694
1300,Thursday,5,4/5/2018,"5,858","3,943","3,232",711
1301,Friday,6,4/6/2018,"5,034","3,348","2,749",599
1302,Saturday,7,4/7/2018,"3,613","2,291","1,840",451
1303,Sunday,1,4/8/2018,"4,389","3,059","2,530",529
1304,Monday,2,4/9/2018,"6,278","4,290","3,546",744
1305,Tuesday,3,4/10/2018,"6,836","4,514","3,747",767
1306,Wednesday,4,4/11/2018,"6,731","4,596","3,759",837
1307,Thursday,5,4/12/2018,"6,287","4,332","3,563",769
1308,Friday,6,4/13/2018,"5,089","3,454","2,850",604
1309,Saturday,7,4/14/2018,"3,812","2,542","2,094",448
1310,Sunday,1,4/15/2018,"5,290","3,538","2,914",624
1311,Monday,2,4/16/2018,"7,161","4,993","4,188",805
1312,Tuesday,3,4/17/2018,"7,352","4,939","4,058",881
1313,Wednesday,4,4/18/2018,"7,218","4,842","4,001",841
1314,Thursday,5,4/19/2018,"7,040","4,672","3,895",777
1315,Friday,6,4/20/2018,"5,367","3,728","3,029",699
1316,Saturday,7,4/21/2018,"4,021","2,749","2,253",496
1317,Sunday,1,4/22/2018,"5,397","3,722","3,059",663
1318,Monday,2,4/23/2018,"7,605","5,124","4,216",908
1319,Tuesday,3,4/24/2018,"7,614","5,094","4,181",913
1320,Wednesday,4,4/25/2018,"7,984","5,541","4,616",925
1321,Thursday,5,4/26/2018,"7,040","4,823","3,957",866
1322,Friday,6,4/27/2018,"5,628","3,749","3,095",654
1323,Saturday,7,4/28/2018,"3,926","2,618","2,141",477
1324,Sunday,1,4/29/2018,"5,479","3,635","3,057",578
1325,Monday,2,4/30/2018,"6,670","4,584","3,784",800
1326,Tuesday,3,5/1/2018,"6,783","4,542","3,742",800
1327,Wednesday,4,5/2/2018,"7,105","4,865","4,013",852
1328,Thursday,5,5/3/2018,"6,877","4,702","3,854",848
1329,Friday,6,5/4/2018,"5,460","3,711","3,039",672
1330,Saturday,7,5/5/2018,"3,648","2,568","2,058",510
1331,Sunday,1,5/6/2018,"4,917","3,311","2,737",574
1332,Monday,2,5/7/2018,"6,980","4,654","3,881",773
1333,Tuesday,3,5/8/2018,"6,702","4,577","3,700",877
1334,Wednesday,4,5/9/2018,"6,699","4,488","3,581",907
1335,Thursday,5,5/10/2018,"6,001","4,059","3,265",794
1336,Friday,6,5/11/2018,"5,094","3,454","2,766",688
1337,Saturday,7,5/12/2018,"3,179","2,237","1,821",416
1338,Sunday,1,5/13/2018,"4,169","2,912","2,413",499
1339,Monday,2,5/14/2018,"6,392","4,388","3,637",751
1340,Tuesday,3,5/15/2018,"5,878","4,094","3,384",710
1341,Wednesday,4,5/16/2018,"5,800","3,976","3,266",710
